ID,indus,chas,nox,rm,age,dis,rad,tax,ptratio,lstat,medv
1,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,4.98,24
2,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,9.14,21.6
4,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,2.94,33.4
5,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,5.33,36.2
7,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,12.43,22.9
11,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,20.45,15
12,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,13.27,18.9
13,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,15.71,21.7
14,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,8.26,20.4
15,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,10.26,18.2
16,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,8.47,19.9
17,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,6.58,23.1
19,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,11.69,20.2
21,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,21.02,13.6
22,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,13.83,19.6
23,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,18.72,15.2
24,8.14,0,0.538,5.813,100,4.0952,4,307,21,19.88,14.5
28,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,17.28,14.8
31,8.14,0,0.538,5.713,94.1,4.233,4,307,21,22.6,12.7
32,8.14,0,0.538,6.072,100,4.175,4,307,21,13.04,14.5
35,8.14,0,0.538,6.096,96.9,3.7598,4,307,21,20.34,13.5
39,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,10.13,24.7
40,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,4.32,30.8
41,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,1.98,34.9
43,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,5.81,25.3
44,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,7.44,24.7
45,6.91,0,0.448,6.069,40,5.7209,3,233,17.9,9.55,21.2
46,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,10.21,19.3
47,6.91,0,0.448,5.786,33.3,5.1004,3,233,17.9,14.15,20
48,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,18.8,16.6
50,6.91,0,0.448,5.602,62,6.0877,3,233,17.9,16.2,19.4
51,5.64,0,0.439,5.963,45.7,6.8147,4,243,16.8,13.45,19.7
52,5.64,0,0.439,6.115,63,6.8147,4,243,16.8,9.43,20.5
54,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,8.43,23.4
55,4,0,0.41,5.888,47.6,7.3197,3,469,21.1,14.8,18.9
56,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,4.81,35.4
57,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,5.77,24.7
58,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,3.95,31.6
59,5.13,0,0.453,6.145,29.2,7.8148,8,284,19.7,6.86,23.3
61,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,13.15,18.7
62,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,14.44,16
64,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,9.5,25
65,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,8.05,33
66,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,4.67,23.5
67,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,10.24,19.4
68,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,8.1,22
69,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,13.09,17.4
71,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,6.72,24.2
73,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,5.52,22.8
74,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,7.54,23.4
75,12.83,0,0.437,6.273,6,4.2515,5,398,18.7,6.78,24.1
76,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,8.94,21.4
77,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,11.97,20
78,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,10.27,20.8
81,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,5.29,28
82,4.86,0,0.426,6.619,70.4,5.4007,4,281,19,7.22,23.9
